Open,High,Low,Close,Volume,TradingDate
25400.0,26000.0,25100.0,25800.0,427800,2021-10-26
25800.0,25850.0,25450.0,25650.0,750200,2021-10-27
25000.0,25200.0,24950.0,25000.0,2624300,2021-10-28
24900.0,24900.0,24050.0,24800.0,2089300,2021-10-29
24800.0,24800.0,24500.0,24700.0,718200,2021-11-01
24600.0,24650.0,24400.0,24600.0,789600,2021-11-02
24600.0,24600.0,22900.0,22950.0,2071700,2021-11-03
22950.0,24550.0,22550.0,24150.0,1205300,2021-11-04
24150.0,25000.0,24150.0,24650.0,902700,2021-11-05
25000.0,25000.0,24650.0,24900.0,1128800,2021-11-08
24900.0,24950.0,24500.0,24800.0,700000,2021-11-09
24600.0,24800.0,24500.0,24650.0,820400,2021-11-10
24750.0,25100.0,24500.0,24900.0,841400,2021-11-11
24900.0,25150.0,24900.0,25050.0,736800,2021-11-12
24900.0,24900.0,24500.0,24600.0,1337600,2021-11-15
24600.0,25700.0,24450.0,25100.0,1134800,2021-11-16
26000.0,26100.0,25500.0,25800.0,2083200,2021-11-17
25800.0,25900.0,25100.0,25200.0,1250100,2021-11-18
23450.0,24000.0,23450.0,23450.0,17810300,2021-11-19
22900.0,23600.0,22900.0,23000.0,4234500,2021-11-22
23000.0,23450.0,23000.0,23350.0,2245800,2021-11-23
23350.0,24000.0,23250.0,23650.0,3797000,2021-11-24
23650.0,23800.0,23500.0,23800.0,3171700,2021-11-25
23900.0,24400.0,23850.0,23850.0,3782400,2021-11-26
23000.0,23400.0,22700.0,23150.0,3961300,2021-11-29
23100.0,23500.0,23000.0,23000.0,2663100,2021-11-30
23000.0,23300.0,22800.0,23050.0,2435200,2021-12-01
23050.0,23100.0,22900.0,22900.0,1797000,2021-12-02
22950.0,23050.0,22800.0,22800.0,2173400,2021-12-03
22700.0,22800.0,22000.0,22050.0,2759600,2021-12-06
22050.0,22450.0,22000.0,22200.0,1328900,2021-12-07
22500.0,23500.0,22450.0,22950.0,2014400,2021-12-08
23000.0,23100.0,22750.0,22900.0,1069700,2021-12-09
23000.0,24450.0,23000.0,23600.0,4189400,2021-12-10
24100.0,25000.0,24100.0,24900.0,8010400,2021-12-13
25100.0,25300.0,24200.0,24950.0,4842100,2021-12-14
24950.0,24950.0,24100.0,24300.0,2899900,2021-12-15
24300.0,24550.0,23350.0,23350.0,5399700,2021-12-16
23050.0,23850.0,23050.0,23450.0,2654800,2021-12-17
23450.0,23700.0,23000.0,23700.0,2121700,2021-12-20
23500.0,23500.0,23100.0,23350.0,1995400,2021-12-21
23500.0,23600.0,23100.0,23100.0,2190000,2021-12-22
23200.0,23500.0,23000.0,23100.0,2447700,2021-12-23
23150.0,23450.0,23150.0,23300.0,1326800,2021-12-24
23350.0,23750.0,23200.0,23350.0,1268000,2021-12-27
23400.0,23550.0,23100.0,23100.0,1845500,2021-12-28
23200.0,23300.0,23100.0,23200.0,1051900,2021-12-29
23250.0,23350.0,23150.0,23200.0,1628200,2021-12-30
23200.0,23250.0,23000.0,23150.0,2083300,2021-12-31
23200.0,23500.0,23150.0,23300.0,1832000,2022-01-04
23400.0,23400.0,23100.0,23100.0,2256200,2022-01-05
23100.0,23100.0,22800.0,22850.0,2466400,2022-01-06
22850.0,22850.0,22600.0,22650.0,2127400,2022-01-07
22750.0,24000.0,22750.0,23200.0,3188800,2022-01-10
23150.0,23300.0,22900.0,23050.0,1685900,2022-01-11
23050.0,23100.0,22600.0,22950.0,1593700,2022-01-12
22950.0,22950.0,22600.0,22650.0,1427600,2022-01-13
22500.0,22700.0,22200.0,22700.0,1433700,2022-01-14
22700.0,23500.0,22700.0,22900.0,2074000,2022-01-17
22900.0,23150.0,22700.0,22950.0,1544300,2022-01-18
22750.0,23000.0,22600.0,22700.0,1050700,2022-01-19
22600.0,22800.0,22450.0,22800.0,1127900,2022-01-20
22800.0,22800.0,22650.0,22700.0,1163900,2022-01-21
22800.0,23500.0,22750.0,22800.0,2579000,2022-01-24
23000.0,23400.0,22900.0,23350.0,2913000,2022-01-25
23800.0,24200.0,23600.0,24100.0,5819400,2022-01-26
24150.0,24200.0,23800.0,24000.0,3012200,2022-01-27
24000.0,24600.0,23900.0,24300.0,3385600,2022-01-28
25700.0,26000.0,25300.0,26000.0,11637900,2022-02-07
26100.0,27300.0,25750.0,26000.0,9015000,2022-02-08
26000.0,26500.0,25900.0,26250.0,5478100,2022-02-09
26500.0,26800.0,26200.0,26400.0,7410000,2022-02-10
26400.0,26500.0,25750.0,26200.0,6889400,2022-02-11
26500.0,27300.0,26400.0,26400.0,7858800,2022-02-14
26100.0,26500.0,25800.0,26250.0,4059500,2022-02-15
26300.0,26500.0,26150.0,26350.0,3865200,2022-02-16
26350.0,27500.0,26150.0,26800.0,7745200,2022-02-17
26650.0,27350.0,26500.0,27300.0,6504800,2022-02-18
27300.0,27300.0,26800.0,26800.0,4712600,2022-02-21
26200.0,26550.0,26000.0,26100.0,5663400,2022-02-22
26000.0,26600.0,25950.0,26250.0,3076300,2022-02-23
26200.0,26350.0,25000.0,25650.0,7196700,2022-02-24
25750.0,26200.0,25750.0,25900.0,2367700,2022-02-25
25700.0,25750.0,25000.0,25350.0,2599200,2022-02-28
25300.0,25500.0,25050.0,25400.0,3286200,2022-03-01
25350.0,25400.0,24950.0,25000.0,3082400,2022-03-02
